color,price,model,specs,engine,bodytype,mileage,city
Blue,"$7,495 ",2010 Chevrolet Impala LT,"Used 2010 Chevrolet Impala LT with FWD, Remote Start, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",6 Cyl,Sedan,"Mileage: 91,946 miles",Boston
Gray,"$52,995 ",2014 Porsche Panamera,"Used 2014 Porsche Panamera with RWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, DVD, Air Conditioning",6 Cyl,Sedan,"Mileage: 22,719 miles",Boston
Black,"$13,590 ",2014 Volkswagen Tiguan S,,4 Cyl,SUV,"Mileage: 35,766 miles",Boston
Green,"$9,590 ",2014 Chevrolet Cruze LS,"Used 2014 Chevrolet Cruze LS with FWD, Keyless Entry, CD (Single Disc), Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, Intermittent Wipers, Power Locks, Rear Window Defroster",4 Cyl,Sedan,"Mileage: 45,211 miles",Boston
Blue,"$28,990 ",2014 Audi A5 Premium Plus,,4 Cyl,Convertible,"Mileage: 34,477 miles",Boston
Black,"$26,975 ",2014 BMW X3 xDrive28i,"Used 2014 BMW X3 xDrive28i with AWD, Leather Seats, Keyless Entry, Heated Seats, Rear-View Camera, Satellite Radio",4 Cyl,SUV,"Mileage: 47,829 miles",Boston
Brown,"$54,975 ",2016 BMW X5 xDrive50i,,8 Cyl,SUV,"Mileage: 7,399 miles",Boston
Silver,"$23,000 ",2015 Volvo V60 T5,"Used 2015 Volvo V60 T5 with AWD, Leather Seats, Power Sun/Moonroof, Navigation System, Heated Seats, Rear-View Camera, Air Conditioning, Power Steering, AM/FM, Trip Computer, Power Seat (Driver)",5 Cyl,Wagon,"Mileage: 50,537 miles",Boston
Black,"$18,495 ",2015 Volkswagen Golf,"Used 2015 Volkswagen Golf with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,Hatchback,"Mileage: 28,726 miles",Boston
Brown,"$16,855 ",2016 Ford Fusion SE,"Used 2016 Ford Fusion SE with FWD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",4 Cyl,Sedan,"Mileage: 9,872 miles",Boston
Blue,"$17,990 ",2014 BMW X1 xDrive28i,"Used 2014 BMW X1 xDrive28i with AWD, Heated Seats",4 Cyl,SUV,"Mileage: 46,016 miles",Boston
Blue,"$28,990 ",2014 Audi A5 Premium Plus,,4 Cyl,Convertible,"Mileage: 34,477 miles",Boston
Black,"$15,590 ",2014 Honda CR-V LX,"Used 2014 Honda CR-V LX with AWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter",4 Cyl,SUV,"Mileage: 38,775 miles",Boston
Silver,"$13,694 ",2015 Toyota Corolla LE,"Used 2015 Toyota Corolla LE with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering",4 Cyl,Sedan,"Mileage: 27,091 miles",Boston
Black,"$41,995 ",2014 BMW X5 xDrive50i,"Used 2014 BMW X5 xDrive50i with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning",8 Cyl,SUV,"Mileage: 37,444 miles",Boston
Gray,"$11,423 ",2013 Ford Escape SE,"Used 2013 Ford Escape SE with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,SUV,"Mileage: 95,126 miles",Boston
Black,"$39,500 ",2017 Cadillac XT5 Luxury,"Used 2017 Cadillac XT5 Luxury with AWD, Remote Start, Leather Seats, Power Sun/Moonroof, Navigation System, Cruise Control, Heated Seats, Air Conditioning, AM/FM, Trip Computer, Power Seat (Driver)",6 Cyl,SUV,"Mileage: 6,228 miles",Boston
Red,"$15,790 ",2014 Honda CR-V LX,"Used 2014 Honda CR-V LX with AWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter",4 Cyl,SUV,"Mileage: 34,403 miles",Boston
Blue,"$16,987 ",2014 Honda CR-V LX,"Used 2014 Honda CR-V LX with AWD, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",4 Cyl,SUV,"Mileage: 32,824 miles",Boston
Gray,"$11,890 ",2014 Honda Civic LX,"Used 2014 Honda Civic LX with FWD, Cruise Control, Rear-View Camera, Air Conditioning, Cloth Seats, Power Steering, Trip Computer, Intermittent Wipers, Power Locks, Rear Window Defroster, Handsfree/Bluetooth Integration",4 Cyl,Coupe,"Mileage: 30,643 miles",Boston
Silver,"$23,777 ",2014 Jeep Grand Cherokee Limited Edition,"Used 2014 Jeep Grand Cherokee Limited Edition with 4WD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera",6 Cyl,SUV,"Mileage: 43,416 miles",Boston
Unspecified,"$25,000 ",2015 Ram 1500 ST,"Used 2015 Ram 1500 ST with 4WD, Fog Lights, Trailer Hitch, Alloy Wheels, Keyless Entry, Quad Cab, Cruise Control, Split/Folding Seats, Air Conditioning, Satellite Radio, Cloth Seats",8 Cyl,Pickup,"Mileage: 42,936 miles",Boston
Gray,"$19,988 ",2013 Toyota Sienna XLE,"Used 2013 Toyota Sienna XLE with FWD, Leather Seats, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning",6 Cyl,Minivan,"Mileage: 64,049 miles",Boston
Red,"$14,277 ",2016 Chevrolet Malibu LT,"Used 2016 Chevrolet Malibu LT with FWD, Remote Start, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio",4 Cyl,Sedan,"Mileage: 18,959 miles",Boston
White,"$30,477 ",2016 Cadillac ATS Luxury,"Used 2016 Cadillac ATS Luxury with AWD, Remote Start, Leather Seats, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning",4 Cyl,Coupe,"Mileage: 2,972 miles",Boston
White,"$18,944 ",2015 Buick Encore,"Used 2015 Buick Encore with AWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",4 Cyl,SUV,"Mileage: 15,022 miles",Boston
Blue,"$8,977 ",2013 Dodge Dart SXT,"Used 2013 Dodge Dart SXT with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering",4 Cyl,Sedan,"Mileage: 48,138 miles",Boston
Red,"$29,544 ",2014 Cadillac SRX Performance,"Used 2014 Cadillac SRX Performance with AWD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",6 Cyl,SUV,"Mileage: 29,210 miles",Boston
Gray,"$47,977 ",2015 BMW 6 Series 650i xDrive,"Used 2015 BMW 6 Series 650i xDrive with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, DVD",8 Cyl,Sedan,"Mileage: 37,810 miles",Boston
Black,"$23,500 ",2014 Chevrolet Silverado 1500 Work Truck,"Used 2014 Chevrolet Silverado 1500 Work Truck with 4WD, Double Cab, Remote Start, Leather Seats, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Towing Package, Rear-View Camera",6 Cyl,Pickup,"Mileage: 29,798 miles",Boston
Black,"$16,955 ",2014 Subaru Forester 2.5i,"Used 2014 Subaru Forester 2.5i with AWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes",4 Cyl,SUV,"Mileage: 46,808 miles",Boston
Blue,"$18,488 ",2014 Toyota RAV4 XLE,"Used 2014 Toyota RAV4 XLE with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering",4 Cyl,SUV,"Mileage: 24,857 miles",Boston
White,"$40,490 ",2014 BMW 7 Series 750Li xDrive,"Used 2014 BMW 7 Series 750Li xDrive with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",8 Cyl,Sedan,"Mileage: 29,774 miles",Boston
Blue,"$15,475 ",2014 Toyota Camry LE,"Used 2014 Toyota Camry LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",4 Cyl,Sedan,"Mileage: 9,683 miles",Boston
White,"$16,695 ",2014 Buick Encore Leather Group,"Used 2014 Buick Encore Leather Group with AWD, Remote Start, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",4 Cyl,SUV,"Mileage: 51,375 miles",Boston
White,"$16,695 ",2014 Buick Encore Leather Group,"Used 2014 Buick Encore Leather Group with AWD, Remote Start, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",4 Cyl,SUV,"Mileage: 51,375 miles",Boston
Black,"$13,965 ",2014 Toyota Camry SE,"Used 2014 Toyota Camry SE with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows",4 Cyl,Sedan,"Mileage: 43,433 miles",Boston
White,"$18,488 ",2015 Volvo S60 T5,"Used 2015 Volvo S60 T5 with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning",4 Cyl,Sedan,"Mileage: 42,572 miles",Boston
White,"$39,899 ",2014 Mercedes-Benz GL-Class GL 450,"Used 2014 Mercedes-Benz GL-Class GL 450 with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats",8 Cyl,SUV,"Mileage: 43,856 miles",Boston
Silver,"$28,988 ",2015 Mercedes-Benz C-Class C 300,"Used 2015 Mercedes-Benz C-Class C 300 with AWD, Leather Seats, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",4 Cyl,Sedan,"Mileage: 28,236 miles",Boston
White,"$17,377 ",2014 Lexus CT 200h,"Used 2014 Lexus CT 200h with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",4 Cyl,Hatchback,"Mileage: 57,431 miles",Boston
Black,"$58,980 ",2016 GMC Yukon Denali,"Used 2016 GMC Yukon Denali with 4WD, Leather Seats, Navigation System, Heated Seats, DVD, Air Conditioning, Power Steering, Power Windows, 4-Wheel Disc Brakes, Power Seat (Driver), Intermittent Wipers",8 Cyl,SUV,"Mileage: 9,305 miles",Boston
Black,"$56,980 ",2016 GMC Sierra 3500HD Denali,"Used 2016 GMC Sierra 3500HD Denali with 4WD, Leather Seats, Navigation System, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Steering, Power Windows, AM/FM",8 Cyl,Pickup,"Mileage: 7,625 miles",Boston
Black,"$26,980 ",2014 Ram 1500 SLT,"Used 2014 Ram 1500 SLT with 4WD, Quad Cab, Cruise Control, Air Conditioning, Cloth Seats, Power Steering, Power Windows, Power Locks, Handsfree/Bluetooth Integration, Front Airbags (Driver), Power Mirrors",8 Cyl,Pickup,"Mileage: 17,888 miles",Boston
Blue,"$17,980 ",2015 Buick Encore,"Used 2015 Buick Encore with FWD, Alloy Wheels, Cruise Control, Rear-View Camera, Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, Intermittent Wipers, Power Locks",4 Cyl,SUV,"Mileage: 7,971 miles",Boston
Silver,"$8,995 ",2010 Volvo XC70,"Used 2010 Volvo XC70 with AWD, Alloy Wheels, Keyless Entry, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Power Locks",6 Cyl,Wagon,"Mileage: 142,758 miles",Boston
Red,"$35,980 ",2016 Chevrolet Colorado Z71,"Used 2016 Chevrolet Colorado Z71 with 4WD, Navigation System, Cruise Control, Air Conditioning, Power Windows, AM/FM, 4-Wheel Disc Brakes, Power Locks, Rear Window Defroster, Front Airbags (Driver), Power Mirrors",4 Cyl,Pickup,"Mileage: 2,532 miles",Boston
Red,"$34,980 ",2016 Chevrolet Silverado 1500 LT,"Used 2016 Chevrolet Silverado 1500 LT with 4WD, Double Cab, Remote Start, Alloy Wheels, Navigation System, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, Satellite Radio, Cloth Seats",8 Cyl,Pickup,"Mileage: 3,133 miles",Boston
Blue,"$15,795 ",2012 Acura TSX,"Used 2012 Acura TSX with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",4 Cyl,Sedan,"Mileage: 32,936 miles",Boston
Silver,"$16,995 ",2014 Ford Explorer Base,"Used 2014 Ford Explorer Base with FWD, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",6 Cyl,SUV,"Mileage: 70,768 miles",Boston
Silver,"$10,995 ",2012 Chevrolet Cruze LT,"Used 2012 Chevrolet Cruze LT with FWD, Remote Start, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,Sedan,"Mileage: 22,577 miles",Boston
Black,"$41,498 ",2017 Genesis G80 Premium,"Used 2017 Genesis G80 Premium with AWD, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",6 Cyl,Sedan,"Mileage: 9,144 miles",Boston
Black,"$11,998 ",2014 Hyundai Sonata GLS,"Used 2014 Hyundai Sonata GLS with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,Sedan,"Mileage: 49,904 miles",Boston
Black,"$18,998 ",2015 Hyundai Santa Fe Sport,"Used 2015 Hyundai Santa Fe Sport with AWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",4 Cyl,SUV,"Mileage: 35,384 miles",Boston
Black,"$8,722 ",2014 Hyundai Accent SE,"Used 2014 Hyundai Accent SE with FWD, Cloth Seats",4 Cyl,Hatchback,"Mileage: 63,588 miles",Boston
Gray,"$13,995 ",2015 Jeep Patriot Latitude,"Used 2015 Jeep Patriot Latitude with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, Power Windows, Intermittent Wipers, Power Locks, Front Airbags (Driver)",4 Cyl,SUV,"Mileage: 45,627 miles",Boston
White,"$9,777 ",2012 Mini Cooper Base,"Used 2012 Mini Cooper Base with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows",4 Cyl,Hatchback,"Mileage: 62,847 miles",Boston
Silver,"$12,500 ",2013 Honda Fit Sport,"Used 2013 Honda Fit Sport with FWD, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, Intermittent Wipers",4 Cyl,Hatchback,"Mileage: 29,165 miles",Boston
Silver,"$13,995 ",2013 Nissan Rogue S,"Used 2013 Nissan Rogue S with AWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter",4 Cyl,SUV,"Mileage: 30,620 miles",Boston
Silver,"$9,559 ",2009 Mercedes-Benz C-Class C 300,"Used 2009 Mercedes-Benz C-Class C 300 with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning",6 Cyl,Sedan,"Mileage: 110,867 miles",Boston
White,"$8,495 ",2012 Nissan Sentra SL,"Used 2012 Nissan Sentra SL with FWD, Fog Lights, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, MP3, Power Windows, AM/FM, Aux Audio Adapter, Trip Computer",4 Cyl,Sedan,"Mileage: 64,337 miles",Boston
Black,"$19,377 ",2015 Toyota RAV4 LE,"Used 2015 Toyota RAV4 LE with AWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",4 Cyl,SUV,"Mileage: 25,426 miles",Boston
Black,"$13,977 ",2015 Kia Soul Soul+,"Used 2015 Kia Soul Soul+ with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",4 Cyl,Wagon,"Mileage: 11,110 miles",Boston
Unspecified,"$9,477 ",2015 Fiat 500 Pop,"Used 2015 Fiat 500 Pop with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",4 Cyl,Hatchback,"Mileage: 16,151 miles",Boston
Black,"$17,977 ",2016 Kia Sportage LX,"Used 2016 Kia Sportage LX with AWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,SUV,"Mileage: 9,046 miles",Boston
Unspecified,"$34,977 ",2015 Toyota Highlander Limited,"Used 2015 Toyota Highlander Limited with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)",6 Cyl,SUV,"Mileage: 23,118 miles",Boston
Gray,"$23,977 ",2014 Toyota Sienna XLE,"Used 2014 Toyota Sienna XLE with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats",6 Cyl,Minivan,"Mileage: 31,159 miles",Boston
Blue,"$17,777 ",2014 GMC Terrain SLE,"Used 2014 GMC Terrain SLE with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",4 Cyl,SUV,"Mileage: 21,777 miles",Boston
Black,"$15,977 ",2015 Toyota Camry LE,"Used 2015 Toyota Camry LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",4 Cyl,Sedan,"Mileage: 17,502 miles",Boston
Black,"$27,999 ",2014 Lexus GS 350,"Used 2014 Lexus GS 350 with AWD, Navigation System, Keyless Entry, Rear-View Camera, Air Conditioning, Handsfree/Bluetooth Integration",6 Cyl,Sedan,"Mileage: 29,536 miles",Boston
White,"$30,777 ",2015 Audi Q5 Premium,"Used 2015 Audi Q5 Premium with AWD, Navigation System, Heated Seats, Air Conditioning, Handsfree/Bluetooth Integration",4 Cyl,SUV,"Mileage: 40,345 miles",Boston
Gray,"$27,977 ",2013 BMW 5 Series 535i xDrive,"Used 2013 BMW 5 Series 535i xDrive with AWD, Navigation System, Heated Seats, Rear-View Camera, Air Conditioning, Handsfree/Bluetooth Integration",6 Cyl,Sedan,"Mileage: 37,536 miles",Boston
Beige,"$10,500 ",2014 Chevrolet Cruze LS,"Used 2014 Chevrolet Cruze LS with FWD, Remote Start, Leather Seats, Power Sun/Moonroof, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Towing Package, Rear-View Camera, Split/Folding Seats",4 Cyl,Sedan,"Mileage: 13,875 miles",Boston
Gray,"$17,990 ",2014 Nissan Pathfinder S,"Used 2014 Nissan Pathfinder S with 4WD, Remote Start, Leather Seats, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Towing Package",6 Cyl,SUV,"Mileage: 25,742 miles",Boston
Black,"$18,990 ",2015 Toyota RAV4 LE,"Used 2015 Toyota RAV4 LE with AWD, Remote Start, Leather Seats, Power Sun/Moonroof, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Towing Package",4 Cyl,SUV,"Mileage: 20,824 miles",Boston
White,"$16,400 ",2013 Mazda CX-5 Touring,"Used 2013 Mazda CX-5 Touring with FWD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)",4 Cyl,SUV,"Mileage: 32,736 miles",Boston
Silver,"$22,250 ",2015 Kia Sorento EX,"Used 2015 Kia Sorento EX with AWD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats",6 Cyl,SUV,"Mileage: 21,269 miles",Boston
Silver,"$23,500 ",2014 Dodge Durango Limited,"Used 2014 Dodge Durango Limited with AWD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats",6 Cyl,SUV,"Mileage: 59,438 miles",Boston
Brown,"$21,990 ",2014 GMC Acadia SLE,"Used 2014 GMC Acadia SLE with AWD, Remote Start, Leather Seats, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)",6 Cyl,SUV,"Mileage: 44,933 miles",Boston
Blue,"$8,495 ",2004 Toyota Highlander,"Used 2004 Toyota Highlander with 4WD, Fog Lights, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering",6 Cyl,SUV,"Mileage: 88,674 miles",Boston
Silver,"$14,990 ",2016 Volkswagen Passat S,"Used 2016 Volkswagen Passat S with FWD, Remote Start, Leather Seats, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Towing Package",4 Cyl,Sedan,"Mileage: 12,517 miles",Boston
Silver,"$5,510 ",2008 Hyundai Accent GS,"Used 2008 Hyundai Accent GS with FWD, Split/Folding Seats, Cloth Seats, Power Steering, Intermittent Wipers, Rear Window Defroster",4 Cyl,Hatchback,"Mileage: 8,502 miles",Boston
Brown,"$9,876 ",2012 Kia Sportage LX,"Used 2012 Kia Sportage LX with FWD, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, AM/FM, Aux Audio Adapter",4 Cyl,SUV,"Mileage: 82,383 miles",Boston
Black,"$13,250 ",2015 Toyota Corolla S,"Used 2015 Toyota Corolla S with FWD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)",4 Cyl,Sedan,"Mileage: 42,081 miles",Boston
Silver,"$14,500 ",2017 Chevrolet Cruze LS,"Used 2017 Chevrolet Cruze LS with FWD, Remote Start, Leather Seats, Power Sun/Moonroof, Navigation System, Keyless Entry, Heated Seats, Towing Package, Rear-View Camera, DVD, Air Conditioning",4 Cyl,Sedan,"Mileage: 8,281 miles",Boston
Black,"$20,990 ",2014 Cadillac SRX Base,"Used 2014 Cadillac SRX Base with FWD, Remote Start, Leather Seats, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)",6 Cyl,SUV,"Mileage: 37,768 miles",Boston
Blue,"$13,500 ",2016 Chevrolet Cruze LT,"Used 2016 Chevrolet Cruze LT with FWD, Remote Start, Leather Seats, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Towing Package",4 Cyl,Sedan,"Mileage: 8,296 miles",Boston
Black,"$17,500 ",2015 GMC Terrain SLE,"Used 2015 GMC Terrain SLE with AWD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)",4 Cyl,SUV,"Mileage: 46,252 miles",Boston
Black,"$29,500 ",2015 Cadillac SRX Performance,"Used 2015 Cadillac SRX Performance with AWD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats",6 Cyl,SUV,"Mileage: 36,052 miles",Boston
Black,"$25,500 ",2014 Lexus ES 350,"Used 2014 Lexus ES 350 with FWD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Towing Package",6 Cyl,Sedan,"Mileage: 26,975 miles",Boston
White,"$23,990 ",2014 Ford Explorer XLT,"Used 2014 Ford Explorer XLT with 4WD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats",6 Cyl,SUV,"Mileage: 29,099 miles",Boston
White,"$24,900 ",2014 GMC Acadia SLE,"Used 2014 GMC Acadia SLE with AWD, Remote Start, Leather Seats, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)",6 Cyl,SUV,"Mileage: 25,855 miles",Boston
Red,"$13,500 ",2015 Toyota Corolla LE,"Used 2015 Toyota Corolla LE with FWD, Remote Start, Leather Seats, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Towing Package, Rear-View Camera",4 Cyl,Sedan,"Mileage: 15,294 miles",Boston
