bodytype,specs,price,color,mileage,engine,model,city
Pickup,"Used 2015 Toyota Tundra SR5 with 4WD, Double Cab, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Towing Package, Rear-View Camera, Air Conditioning, MP3","$34,995 ",Silver,"Mileage: 11,362 miles",8 Cyl,2015 Toyota Tundra SR5,SanFrancisco 
Pickup,"Used 2014 Ford F-150 XLT with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats","$33,950 ",White,"Mileage: 20,133 miles",6 Cyl,2014 Ford F-150 XLT,SanFrancisco 
Sedan,,"$13,482 ",Red,"Mileage: 57,155 miles",4 Cyl,2016 Toyota Corolla S,SanFrancisco 
SUV,"Used 2014 Subaru XV Crosstrek Limited with AWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning","$18,988 ",White,"Mileage: 48,114 miles",4 Cyl,2014 Subaru XV Crosstrek Limited,SanFrancisco 
Coupe,"Used 2010 Mercedes-Benz E-Class E 350 with RWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, MP3","$22,981 ",Black,"Mileage: 18,914 miles",6 Cyl,2010 Mercedes-Benz E-Class E 350,SanFrancisco 
SUV,"Used 2016 Jeep Cherokee Sport with FWD, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Cloth Seats, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes, Trip Computer","$19,850 ",White,"Mileage: 11,571 miles",6 Cyl,2016 Jeep Cherokee Sport,SanFrancisco 
Pickup,"Used 2016 Nissan Frontier with 4WD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning","$27,500 ",Gray,"Mileage: 19,369 miles",6 Cyl,2016 Nissan Frontier,SanFrancisco 
SUV,,"$36,800 ",Black,"Mileage: 50,351 miles",6 Cyl,2014 BMW X5 sDrive35i,SanFrancisco 
Hatchback,"Used 2014 Volkswagen GTI Wolfsburg Edition with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering","$17,900 ",White,"Mileage: 45,358 miles",4 Cyl,2014 Volkswagen GTI Wolfsburg Edition,SanFrancisco 
SUV,"Used 2015 Jeep Grand Cherokee Overland with 4WD, Leather Seats, Alloy Wheels, Navigation System, Heated Seats, Rear-View Camera, Split/Folding Seats, MP3, AM/FM, Aux Audio Adapter, Intermittent Wipers","$34,992 ",Gray,"Mileage: 24,516 miles",6 Cyl,2015 Jeep Grand Cherokee Overland,SanFrancisco 
Pickup,"Used 2013 Ford F-150 XLT with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering","$25,850 ",White,"Mileage: 67,921 miles",6 Cyl,2013 Ford F-150 XLT,SanFrancisco 
SUV,"Used 2015 Lexus RX 350 with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats","$36,881 ",Gray,"Mileage: 13,926 miles",6 Cyl,2015 Lexus RX 350,SanFrancisco 
Sedan,,"$15,484 ",Blue,"Mileage: 31,611 miles",4 Cyl,2015 Toyota Camry LE,SanFrancisco 
SUV,,"$44,988 ",White,"Mileage: 7,186 miles",6 Cyl,2017 Honda Pilot Elite,SanFrancisco 
SUV,,"$18,482 ",Red,"Mileage: 27,859 miles",4 Cyl,2015 Nissan Rogue SV,SanFrancisco 
Sedan,,"$36,500 ",Gray,"Mileage: 34,158 miles",6 Cyl,2014 Maserati Ghibli,SanFrancisco 
Sedan,"Used 2014 Dodge Charger SE with RWD, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Cloth Seats","$18,488 ",Silver,"Mileage: 18,977 miles",6 Cyl,2014 Dodge Charger SE,SanFrancisco 
SUV,"Used 2014 GMC Acadia SLT with FWD, Remote Start, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning","$27,999 ",White,"Mileage: 22,158 miles",6 Cyl,2014 GMC Acadia SLT,SanFrancisco 
SUV,"Used 2015 Jeep Wrangler Sport with 4WD, Fog Lights, Alloy Wheels, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, AM/FM","$25,800 ",Silver,"Mileage: 23,185 miles",6 Cyl,2015 Jeep Wrangler Sport,SanFrancisco 
Pickup,"Used 2013 Ram 1500 ST with 4WD, Keyless Entry, Quad Cab, Split/Folding Seats, Satellite Radio, Cloth Seats, AM/FM, 4-Wheel Disc Brakes","$22,992 ",White,"Mileage: 62,932 miles",8 Cyl,2013 Ram 1500 ST,SanFrancisco 
SUV,"Used 2014 Acura MDX Technology with AWD, Power Sun/Moonroof, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, DVD, Air Conditioning","$30,999 ",Red,"Mileage: 42,127 miles",6 Cyl,2014 Acura MDX Technology,SanFrancisco 
SUV,"Used 2004 GMC Yukon XL 1500 with AWD, Leather Seats, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, Satellite Radio","$8,998 ",Unspecified,"Mileage: 125,949 miles",8 Cyl,2004 GMC Yukon XL 1500,SanFrancisco 
Sedan,"Used 2012 Mazda Mazda3 i Touring with FWD, Alloy Wheels, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter","$11,795 ",Green,"Mileage: 28,126 miles",4 Cyl,2012 Mazda Mazda3 i Touring,SanFrancisco 
Hatchback,"Used 2014 Toyota Prius c Three with FWD, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows","$13,582 ",Gray,"Mileage: 36,409 miles",4 Cyl,2014 Toyota Prius c Three,SanFrancisco 
Sedan,"Used 2013 Ford Fusion SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows","$12,582 ",Gray,"Mileage: 79,917 miles",4 Cyl,2013 Ford Fusion SE,SanFrancisco 
SUV,"Used 2004 Toyota Sequoia Limited Edition with 4WD, Power Sun/Moonroof, Third Row Seating, Heated Seats, DVD, AM/FM, 4-Wheel Disc Brakes, Power Mirrors","$6,294 ",Black,"Mileage: 248,765 miles",8 Cyl,2004 Toyota Sequoia Limited Edition,SanFrancisco 
SUV,"Used 2014 Kia Sportage LX with AWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows, AM/FM","$17,450 ",Silver,"Mileage: 28,044 miles",4 Cyl,2014 Kia Sportage LX,SanFrancisco 
Sedan,"Used 2015 Toyota Corolla S with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering","$15,199 ",Gray,"Mileage: 29,390 miles",4 Cyl,2015 Toyota Corolla S,SanFrancisco 
Hatchback,"Used 2015 Volkswagen Golf S with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows, AM/FM","$15,995 ",Black,"Mileage: 41,921 miles",4 Cyl,2015 Volkswagen Golf S,SanFrancisco 
Hatchback,"Used 2015 BMW i3 Range Extender with RWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats","$21,983 ",White,"Mileage: 19,894 miles",2 Cyl,2015 BMW i3 Range Extender,SanFrancisco 
Hatchback,"Used 2015 Volkswagen Golf S with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), MP3, Satellite Radio, Power Steering, Power Windows, AM/FM, Aux Audio Adapter","$18,900 ",White,"Mileage: 11,947 miles",4 Cyl,2015 Volkswagen Golf S,SanFrancisco 
Sedan,,"$19,995 ",White,"Mileage: 31,333 miles",4 Cyl,2014 Audi A4 2.0T,SanFrancisco 
Coupe,"Used 2014 BMW 4 Series 428i with RWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering","$27,900 ",Black,"Mileage: 32,517 miles",4 Cyl,2014 BMW 4 Series 428i,SanFrancisco 
Sedan,"Used 2015 Volkswagen Jetta SE with FWD, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio","$15,995 ",Gray,"Mileage: 39,263 miles",4 Cyl,2015 Volkswagen Jetta SE,SanFrancisco 
Hatchback,"Used 2015 Toyota Prius Two with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows","$15,850 ",Silver,"Mileage: 40,642 miles",4 Cyl,2015 Toyota Prius Two,SanFrancisco 
Minivan,"Used 2016 Honda Odyssey EX with FWD, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning","$30,999 ",Gray,"Mileage: 7,206 miles",6 Cyl,2016 Honda Odyssey EX,SanFrancisco 
SUV,"Used 2015 Porsche Macan S with AWD, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes, Power Locks","$48,000 ",Blue,"Mileage: 21,787 miles",6 Cyl,2015 Porsche Macan S,SanFrancisco 
Sedan,"Used 2017 Jaguar XE R-Sport with RWD, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Air Conditioning, Satellite Radio, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes","$45,000 ",Brown,"Mileage: 1,559 miles",6 Cyl,2017 Jaguar XE R-Sport,SanFrancisco 
Wagon,"Used 2006 Toyota Matrix XR with AWD, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Power Locks","$5,998 ",Gray,"Mileage: 178,039 miles",4 Cyl,2006 Toyota Matrix XR,SanFrancisco 
Hatchback,"Used 2016 Scion tC Base with FWD, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM","$16,998 ",Gray,"Mileage: 15,796 miles",4 Cyl,2016 Scion tC Base,SanFrancisco 
SUV,"Used 2013 Jeep Wrangler Sport with 4WD, Fog Lights, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, AM/FM, 4-Wheel Disc Brakes","$28,500 ",Beige,"Mileage: 53,590 miles",6 Cyl,2013 Jeep Wrangler Sport,SanFrancisco 
Sedan,"Used 2015 Nissan Sentra S with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM","$13,254 ",Gray,"Mileage: 17,854 miles",4 Cyl,2015 Nissan Sentra S,SanFrancisco 
Sedan,"Used 2014 Chevrolet Volt with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering","$15,700 ",Silver,"Mileage: 42,440 miles",4 Cyl,2014 Chevrolet Volt,SanFrancisco 
Sedan,"Used 2014 Toyota Corolla LE with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering","$13,900 ",Silver,"Mileage: 26,252 miles",4 Cyl,2014 Toyota Corolla LE,SanFrancisco 
Sedan,"Used 2014 Chevrolet Volt with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows","$16,000 ",Silver,"Mileage: 35,985 miles",4 Cyl,2014 Chevrolet Volt,SanFrancisco 
Pickup,"Used 2014 Ram 1500 Laramie with RWD, Remote Start, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Towing Package, Rear-View Camera, Split/Folding Seats","$30,800 ",White,"Mileage: 29,695 miles",8 Cyl,2014 Ram 1500 Laramie,SanFrancisco 
Sedan,"Used 2015 Hyundai Sonata SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering","$13,991 ",White,"Mileage: 27,182 miles",4 Cyl,2015 Hyundai Sonata SE,SanFrancisco 
Sedan,"Used 2012 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Aux Audio Adapter, Intermittent Wipers","$11,488 ",Silver,"Mileage: 43,422 miles",4 Cyl,2012 Toyota Corolla LE,SanFrancisco 
Sedan,"Used 2013 Ford Focus SE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows, AM/FM, Power Locks","$10,352 ",Gray,"Mileage: 28,982 miles",4 Cyl,2013 Ford Focus SE,SanFrancisco 
Pickup,,"$21,991 ",Red,"Mileage: 9,161 miles",4 Cyl,2012 Toyota Tacoma,SanFrancisco 
Sedan,"Used 2013 Hyundai Elantra Limited Edition with FWD, Heated Seats, 4-Wheel Disc Brakes","$11,392 ",Black,"Mileage: 53,887 miles",4 Cyl,2013 Hyundai Elantra Limited Edition,SanFrancisco 
SUV,"Used 2009 Volkswagen Tiguan SE with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats","$10,192 ",Brown,"Mileage: 71,080 miles",4 Cyl,2009 Volkswagen Tiguan SE,SanFrancisco 
SUV,"Used 2015 Honda Pilot EXL with 4WD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats","$29,881 ",Gray,"Mileage: 24,631 miles",6 Cyl,2015 Honda Pilot EXL,SanFrancisco 
Sedan,"Used 2016 Honda Civic EX-T with FWD, Remote Start, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, MP3, Satellite Radio","$18,482 ",White,"Mileage: 21,999 miles",4 Cyl,2016 Honda Civic EX-T,SanFrancisco 
SUV,,"$34,800 ",Blue,"Mileage: 34,397 miles",6 Cyl,2014 BMW X5 xDrive35i,SanFrancisco 
Sedan,"Used 2015 Chevrolet Malibu LS with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows","$14,400 ",Blue,"Mileage: 22,394 miles",4 Cyl,2015 Chevrolet Malibu LS,SanFrancisco 
Sedan,,"$11,962 ",Blue,"Mileage: 28,955 miles",4 Cyl,2012 Toyota Corolla LE,SanFrancisco 
Sedan,"Used 2014 Mercedes-Benz CLA 250 with AWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering","$18,981 ",Silver,"Mileage: 81,058 miles",4 Cyl,2014 Mercedes-Benz CLA 250,SanFrancisco 
Hatchback,,"$13,481 ",Gray,"Mileage: 22,433 miles",4 Cyl,2013 Toyota Prius c One,SanFrancisco 
Pickup,"Used 2013 Ford F-150 XL with RWD, Fog Lights, Trailer Hitch, Cruise Control, Towing Package, Split/Folding Seats, Air Conditioning, AM/FM, Intermittent Wipers, Power Locks, Front Airbags (Driver)","$19,999 ",White,"Mileage: 64,901 miles",6 Cyl,2013 Ford F-150 XL,SanFrancisco 
Pickup,"Used 2014 Nissan Frontier S with RWD, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, Rear Window Defroster, Handsfree/Bluetooth Integration, Front Airbags (Driver)","$17,996 ",White,"Mileage: 57,579 miles",6 Cyl,2014 Nissan Frontier S,SanFrancisco 
Sedan,"Used 2009 Toyota Yaris Base with FWD, Air Conditioning, Power Steering, Intermittent Wipers, Front Airbags (Driver)","$7,900 ",Silver,"Mileage: 50,658 miles",4 Cyl,2009 Toyota Yaris Base,SanFrancisco 
Sedan,"Used 2015 Toyota Corolla L with FWD, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Trip Computer, Rear Window Defroster, Handsfree/Bluetooth Integration","$13,900 ",Unspecified,"Mileage: 24,288 miles",4 Cyl,2015 Toyota Corolla L,SanFrancisco 
Minivan,"Used 2014 Honda Odyssey EX with FWD, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats","$19,588 ",Silver,"Mileage: 77,954 miles",6 Cyl,2014 Honda Odyssey EX,SanFrancisco 
Sedan,"Used 2014 Ford Fusion Titanium with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats","$16,950 ",White,"Mileage: 63,216 miles",4 Cyl,2014 Ford Fusion Titanium,SanFrancisco 
Sedan,"Used 2015 Chrysler 200 Limited with FWD, Alloy Wheels, Keyless Entry, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, AM/FM, Trip Computer","$14,488 ",Gray,"Mileage: 22,889 miles",6 Cyl,2015 Chrysler 200 Limited,SanFrancisco 
SUV,"Used 2010 Ford Escape Limited with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Power Steering","$11,998 ",Black,"Mileage: 46,567 miles",6 Cyl,2010 Ford Escape Limited,SanFrancisco 
