mileage,specs,color,bodytype,engine,model,price,city
"Mileage: 18,397 miles","Used 2016 Kia Rio LX with FWD, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes",Blue,Sedan,4 Cyl,2016 Kia Rio LX,"$8,999 ",Miami
"Mileage: 23,208 miles","Used 2016 Honda Civic LX with FWD, Keyless Entry, Cruise Control, Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes",Gray,Sedan,4 Cyl,2016 Honda Civic LX,"$13,999 ",Miami
"Mileage: 44,875 miles","Used 2014 Ford Focus SE with FWD, Cruise Control, Air Conditioning, Cloth Seats, AM/FM, Trip Computer, Power Locks, Handsfree/Bluetooth Integration, Power Mirrors",Blue,Sedan,4 Cyl,2014 Ford Focus SE,"$8,987 ",Miami
"Mileage: 33,582 miles","Used 2014 Honda Civic LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",Black,Sedan,4 Cyl,2014 Honda Civic LX,"$11,900 ",Miami
"Mileage: 17,516 miles","Used 2014 Dodge Journey SXT with FWD, Fog Lights, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Intermittent Wipers, Power Locks, Rear Window Defroster, Front Airbags (Driver)",Orange,SUV,6 Cyl,2014 Dodge Journey SXT,"$14,991 ",Miami
"Mileage: 31,487 miles","Used 2013 Cadillac SRX Base with FWD, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, AM/FM, Aux Audio Adapter, Trip Computer, Power Seat (Driver), Intermittent Wipers",Silver,SUV,6 Cyl,2013 Cadillac SRX Base,"$19,700 ",Miami
Mileage: 1 miles,"Used 2016 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",Red,Sedan,4 Cyl,2016 Toyota Corolla LE,"$13,987 ",Miami
"Mileage: 35,201 miles","Used 2014 Honda Civic LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",Brown,Sedan,4 Cyl,2014 Honda Civic LX,"$10,999 ",Miami
"Mileage: 42,564 miles","Used 2013 BMW 3 Series 328i with RWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows",Blue,Sedan,4 Cyl,2013 BMW 3 Series 328i,"$16,000 ",Miami
"Mileage: 30,799 miles","Used 2015 Fiat 500 Pop with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter",White,Hatchback,4 Cyl,2015 Fiat 500 Pop,"$7,990 ",Miami
"Mileage: 44,229 miles","Used 2014 Buick Enclave Leather Group with FWD, Remote Start, Alloy Wheels, Heated Seats, Air Conditioning, Power Seat (Driver), Rear Window Defroster",Gold,SUV,6 Cyl,2014 Buick Enclave Leather Group,"$23,000 ",Miami
"Mileage: 34,143 miles","Used 2014 Volvo XC90 with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning",Black,SUV,6 Cyl,2014 Volvo XC90,"$28,689 ",Miami
"Mileage: 57,492 miles","Used 2014 Toyota Corolla L with FWD, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Trip Computer, Rear Window Defroster, Front Airbags (Driver)",Gray,Sedan,4 Cyl,2014 Toyota Corolla L,"$10,788 ",Miami
"Mileage: 27,839 miles","Used 2015 Chevrolet Malibu LT with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Aux Audio Adapter",White,Sedan,4 Cyl,2015 Chevrolet Malibu LT,"$15,500 ",Miami
"Mileage: 21,857 miles","Used 2014 Toyota Corolla L with FWD, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, Trip Computer",Silver,Sedan,4 Cyl,2014 Toyota Corolla L,"$11,998 ",Miami
"Mileage: 47,417 miles","Used 2013 Jeep Patriot Sport with FWD, Fog Lights, Alloy Wheels, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, AM/FM",Blue,SUV,4 Cyl,2013 Jeep Patriot Sport,"$9,595 ",Miami
"Mileage: 9,179 miles","Used 2016 Audi Q5 Premium with AWD, Leather Seats, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, Satellite Radio, Power Steering, Power Windows",White,SUV,4 Cyl,2016 Audi Q5 Premium,"$35,900 ",Miami
"Mileage: 36,210 miles","Used 2015 Toyota Corolla LE with FWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",White,Sedan,4 Cyl,2015 Toyota Corolla LE,"$13,488 ",Miami
"Mileage: 14,012 miles","Used 2016 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, Cloth Seats, Power Windows, AM/FM, Trip Computer, Intermittent Wipers, Power Locks, Rear Window Defroster, Front Airbags (Driver)",Gray,Sedan,4 Cyl,2016 Toyota Corolla LE,"$13,490 ",Miami
"Mileage: 38,643 miles","Used 2014 Cadillac ATS Standard with RWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows",Black,Sedan,4 Cyl,2014 Cadillac ATS Standard,"$15,990 ",Miami
"Mileage: 6,528 miles","Used 2014 Cadillac ATS with RWD, Leather Seats, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Power Steering",White,Sedan,4 Cyl,2014 Cadillac ATS,"$21,888 ",Miami
"Mileage: 29,304 miles","Used 2014 Jeep Grand Cherokee Overland with RWD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Towing Package, Rear-View Camera",White,SUV,6 Cyl,2014 Jeep Grand Cherokee Overland,"$25,987 ",Miami
"Mileage: 32,837 miles","Used 2015 Kia Sorento EX with FWD, Leather Seats, Fog Lights, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, Power Steering, Trip Computer, Power Seat (Driver), Intermittent Wipers",Gray,SUV,6 Cyl,2015 Kia Sorento EX,"$20,400 ",Miami
"Mileage: 17,825 miles","Used 2015 Jeep Wrangler Sport with 4WD, Fog Lights, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Intermittent Wipers, Front Airbags (Driver)",Black,SUV,6 Cyl,2015 Jeep Wrangler Sport,"$27,991 ",Miami
"Mileage: 37,338 miles","Used 2014 Toyota 4Runner SR5 with RWD, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, AM/FM",Black,SUV,6 Cyl,2014 Toyota 4Runner SR5,"$26,986 ",Miami
"Mileage: 23,687 miles","Used 2014 Toyota Sienna XLE with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",Red,Minivan,6 Cyl,2014 Toyota Sienna XLE,"$24,988 ",Miami
"Mileage: 11,756 miles","Used 2016 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",Red,Sedan,4 Cyl,2016 Toyota Corolla LE,"$13,488 ",Miami
"Mileage: 6,528 miles","Used 2014 Cadillac ATS with RWD, Leather Seats, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Power Steering",White,Sedan,4 Cyl,2014 Cadillac ATS,"$21,888 ",Miami
"Mileage: 29,304 miles","Used 2014 Jeep Grand Cherokee Overland with RWD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Towing Package, Rear-View Camera",White,SUV,6 Cyl,2014 Jeep Grand Cherokee Overland,"$25,987 ",Miami
"Mileage: 28,838 miles","Used 2015 Cadillac SRX Base with FWD, Cruise Control, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Aux Audio Adapter, Trip Computer, Power Seat (Driver), Intermittent Wipers, Power Locks",Black,SUV,6 Cyl,2015 Cadillac SRX Base,"$23,580 ",Miami
"Mileage: 32,837 miles","Used 2015 Kia Sorento EX with FWD, Leather Seats, Fog Lights, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, Power Steering, Trip Computer, Power Seat (Driver), Intermittent Wipers",Gray,SUV,6 Cyl,2015 Kia Sorento EX,"$20,400 ",Miami
"Mileage: 17,825 miles","Used 2015 Jeep Wrangler Sport with 4WD, Fog Lights, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Intermittent Wipers, Front Airbags (Driver)",Black,SUV,6 Cyl,2015 Jeep Wrangler Sport,"$27,991 ",Miami
"Mileage: 37,338 miles","Used 2014 Toyota 4Runner SR5 with RWD, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, AM/FM",Black,SUV,6 Cyl,2014 Toyota 4Runner SR5,"$26,986 ",Miami
"Mileage: 21,829 miles","Used 2015 Toyota RAV4 XLE with FWD, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",Gray,SUV,4 Cyl,2015 Toyota RAV4 XLE,"$18,500 ",Miami
"Mileage: 14,521 miles","Used 2015 Kia Optima LX with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",White,Sedan,4 Cyl,2015 Kia Optima LX,"$13,883 ",Miami
"Mileage: 19,585 miles","Used 2015 Toyota Corolla S with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Cruise Control, Split/Folding Seats, Air Conditioning, Power Windows, AM/FM, Trip Computer",Brown,Sedan,4 Cyl,2015 Toyota Corolla S,"$10,999 ",Miami
"Mileage: 26,449 miles","Used 2015 Hyundai Tucson GLS with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows",Black,SUV,4 Cyl,2015 Hyundai Tucson GLS,"$14,990 ",Miami
"Mileage: 14,939 miles","Used 2016 Audi A4 2.0T with AWD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",Black,Sedan,4 Cyl,2016 Audi A4 2.0T,"$28,450 ",Miami
"Mileage: 10,493 miles","Used 2014 Chevrolet Cruze LT with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Aux Audio Adapter",Silver,Sedan,4 Cyl,2014 Chevrolet Cruze LT,"$11,500 ",Miami
"Mileage: 8,453 miles","Used 2015 Toyota RAV4 XLE with FWD, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",Beige,SUV,4 Cyl,2015 Toyota RAV4 XLE,"$18,988 ",Miami
"Mileage: 22,529 miles","Used 2015 Toyota 4Runner SR5 with RWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering",Gray,SUV,6 Cyl,2015 Toyota 4Runner SR5,"$28,988 ",Miami
"Mileage: 19,984 miles","Used 2014 Chevrolet Camaro LT with RWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",Yellow,Coupe,6 Cyl,2014 Chevrolet Camaro LT,"$18,995 ",Miami
"Mileage: 18,125 miles","Used 2014 Buick Verano Leather Group with FWD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",Blue,Sedan,4 Cyl,2014 Buick Verano Leather Group,"$13,988 ",Miami
"Mileage: 66,786 miles","Used 2015 Jeep Wrangler Sport with 4WD, Fog Lights, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Intermittent Wipers, Front Airbags (Driver)",White,SUV,6 Cyl,2015 Jeep Wrangler Sport,"$26,973 ",Miami
"Mileage: 28,895 miles","Used 2014 Volkswagen Jetta SE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows, AM/FM",Gray,Sedan,4 Cyl,2014 Volkswagen Jetta SE,"$11,550 ",Miami
"Mileage: 16,244 miles","Used 2016 Lincoln MKZ with FWD, Remote Start, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",Gray,Sedan,4 Cyl,2016 Lincoln MKZ,"$21,500 ",Miami
"Mileage: 14,350 miles","Used 2016 Volvo S60 T5 Inscription with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",Gray,Sedan,4 Cyl,2016 Volvo S60 T5 Inscription,"$25,893 ",Miami
"Mileage: 17,228 miles","Used 2015 Toyota Camry SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows",White,Sedan,4 Cyl,2015 Toyota Camry SE,"$15,500 ",Miami
"Mileage: 6,041 miles","Used 2017 Toyota RAV4 XLE with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",Silver,SUV,4 Cyl,2017 Toyota RAV4 XLE,"$23,259 ",Miami
"Mileage: 31,685 miles","Used 2014 Volkswagen Jetta S with FWD, CD (Single Disc), Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, Intermittent Wipers, Power Locks, Rear Window Defroster",White,Sedan,4 Cyl,2014 Volkswagen Jetta S,"$10,377 ",Miami
"Mileage: 50,013 miles","Used 2014 BMW 5 Series 535i with RWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",White,Sedan,6 Cyl,2014 BMW 5 Series 535i,"$25,798 ",Miami
"Mileage: 30,772 miles","Used 2013 GMC Acadia Denali with FWD, Remote Start, Leather Seats, Fog Lights, Power Sun/Moonroof, Trailer Hitch, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats",White,SUV,6 Cyl,2013 GMC Acadia Denali,"$26,988 ",Miami
"Mileage: 11,428 miles","Used 2016 BMW X4 xDrive28i with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",White,SUV,4 Cyl,2016 BMW X4 xDrive28i,"$39,995 ",Miami
"Mileage: 13,644 miles","Used 2016 Buick Encore Base with FWD, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Trip Computer, Power Seat (Driver), Intermittent Wipers, Power Locks, Rear Window Defroster",White,SUV,4 Cyl,2016 Buick Encore Base,"$17,591 ",Miami
"Mileage: 24,179 miles","Used 2016 Volkswagen Tiguan R-Line with FWD, Fog Lights, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Satellite Radio, Power Steering, Power Windows",Black,SUV,4 Cyl,2016 Volkswagen Tiguan R-Line,"$18,798 ",Miami
"Mileage: 24,815 miles","Used 2016 Toyota Tacoma SR with RWD, Double Cab, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Intermittent Wipers",Gray,Pickup,4 Cyl,2016 Toyota Tacoma SR,"$22,499 ",Miami
"Mileage: 18,125 miles","Used 2016 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",Blue,Sedan,4 Cyl,2016 Toyota Corolla LE,"$13,998 ",Miami
"Mileage: 14,757 miles","Used 2015 Nissan Sentra S with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",White,Sedan,4 Cyl,2015 Nissan Sentra S,"$10,995 ",Miami
"Mileage: 57,320 miles","Used 2015 Lincoln MKC with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",Black,SUV,4 Cyl,2015 Lincoln MKC,"$19,790 ",Miami
"Mileage: 19,431 miles","Used 2015 Toyota Camry XLE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",Gray,Sedan,4 Cyl,2015 Toyota Camry XLE,"$15,495 ",Miami
"Mileage: 18,986 miles","Used 2015 Jeep Wrangler Sahara with 4WD, Fog Lights, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, AM/FM, Trip Computer, Intermittent Wipers, Power Locks, Power Mirrors",Silver,SUV,6 Cyl,2015 Jeep Wrangler Sahara,"$32,968 ",Miami
"Mileage: 12,689 miles","Used 2016 Lexus ES 350 with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Power Steering",Black,Sedan,6 Cyl,2016 Lexus ES 350,"$32,653 ",Miami
"Mileage: 38,241 miles","Used 2014 Volkswagen Jetta GLI with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Air Conditioning, Satellite Radio, Power Steering, Power Windows, AM/FM",Silver,Sedan,4 Cyl,2014 Volkswagen Jetta GLI,"$16,777 ",Miami
"Mileage: 12,787 miles","Used 2015 Dodge Durango Limited with RWD, Fog Lights, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning",Gray,SUV,6 Cyl,2015 Dodge Durango Limited,"$27,495 ",Miami
"Mileage: 45,286 miles","Used 2014 Lincoln MKZ with FWD, Remote Start, Leather Seats, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio",Black,Sedan,4 Cyl,2014 Lincoln MKZ,"$15,499 ",Miami
"Mileage: 38,951 miles","Used 2016 Nissan Rogue SL with FWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",White,SUV,4 Cyl,2016 Nissan Rogue SL,"$20,795 ",Miami
"Mileage: 11,982 miles","Used 2016 Lexus GX 460 with 4WD, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",Black,SUV,8 Cyl,2016 Lexus GX 460,"$46,982 ",Miami
"Mileage: 30,820 miles","Used 2014 Ford Fusion SE with FWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning",White,Sedan,4 Cyl,2014 Ford Fusion SE,"$13,990 ",Miami
"Mileage: 13,683 miles","Used 2016 Toyota Corolla L with FWD, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, Trip Computer",Black,Sedan,4 Cyl,2016 Toyota Corolla L,"$13,000 ",Miami
"Mileage: 64,267 miles","Used 2012 Honda CR-V EXL with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",Black,SUV,4 Cyl,2012 Honda CR-V EXL,"$14,999 ",Miami
"Mileage: 67,032 miles","Used 2013 Infiniti EX37 Journey with RWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",Black,SUV,6 Cyl,2013 Infiniti EX37 Journey,"$18,991 ",Miami
"Mileage: 19,226 miles","Used 2015 Toyota Camry LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",Gray,Sedan,4 Cyl,2015 Toyota Camry LE,"$14,988 ",Miami
"Mileage: 21,646 miles","Used 2015 BMW 3 Series 328i with RWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Power Steering, Power Windows",Gray,Sedan,4 Cyl,2015 BMW 3 Series 328i,"$26,551 ",Miami
"Mileage: 53,632 miles","Used 2013 Mercedes-Benz C-Class C 250 with RWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering",Gray,Sedan,4 Cyl,2013 Mercedes-Benz C-Class C 250,"$14,990 ",Miami
"Mileage: 13,823 miles","Used 2015 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, AM/FM",Silver,Sedan,4 Cyl,2015 Toyota Corolla LE,"$12,900 ",Miami
"Mileage: 9,928 miles","Used 2015 Volkswagen Jetta S with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter",Blue,Sedan,4 Cyl,2015 Volkswagen Jetta S,"$12,086 ",Miami
"Mileage: 18,733 miles","Used 2015 Volkswagen Passat Sport with FWD, Fog Lights, Alloy Wheels, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, Satellite Radio, Power Steering, Power Windows, AM/FM",Silver,Sedan,4 Cyl,2015 Volkswagen Passat Sport,"$17,877 ",Miami
"Mileage: 9,615 miles","Used 2016 Toyota RAV4 XLE with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",Blue,SUV,4 Cyl,2016 Toyota RAV4 XLE,"$19,787 ",Miami
"Mileage: 38,682 miles","Used 2015 Toyota Corolla LE with FWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",Red,Sedan,4 Cyl,2015 Toyota Corolla LE,"$13,888 ",Miami
"Mileage: 3,417 miles","Used 2016 Land Rover Range Rover Sport Supercharged with 4WD, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, DVD",Blue,SUV,8 Cyl,2016 Land Rover Range Rover Sport Supercharged,"$81,500 ",Miami
"Mileage: 30,024 miles","Used 2013 Jaguar XJ with RWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), DVD, Air Conditioning",Blue,Sedan,6 Cyl,2013 Jaguar XJ,"$32,500 ",Miami
"Mileage: 79,953 miles","Used 2014 Toyota Camry SE with FWD, Fog Lights, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Trip Computer, Intermittent Wipers, Power Locks, Rear Window Defroster",Gray,Sedan,4 Cyl,2014 Toyota Camry SE,"$10,975 ",Miami
"Mileage: 20,651 miles","Used 2013 Volkswagen Jetta SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering",Blue,Sedan,5 Cyl,2013 Volkswagen Jetta SE,"$9,999 ",Miami
"Mileage: 13,426 miles","Used 2015 Lexus ES 350 with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Rear-View Camera, Air Conditioning, Power Steering, AM/FM, 4-Wheel Disc Brakes",Silver,Sedan,6 Cyl,2015 Lexus ES 350,"$28,877 ",Miami
"Mileage: 18,077 miles","Used 2016 Dodge Journey SXT with FWD, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",Black,SUV,4 Cyl,2016 Dodge Journey SXT,"$15,442 ",Miami
"Mileage: 8,804 miles","Used 2014 Volkswagen Jetta S with FWD, Alloy Wheels, CD (Single Disc), Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, Intermittent Wipers, Power Locks",White,Sedan,4 Cyl,2014 Volkswagen Jetta S,"$10,998 ",Miami
"Mileage: 18,126 miles","Used 2015 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",White,Sedan,4 Cyl,2015 Toyota Corolla LE,"$12,000 ",Miami
"Mileage: 49,525 miles","Used 2014 BMW 7 Series 750i xDrive with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning",White,Sedan,8 Cyl,2014 BMW 7 Series 750i xDrive,"$32,995 ",Miami
"Mileage: 35,524 miles","Used 2014 Jaguar XK with RWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Air Conditioning, MP3, Satellite Radio, Power Steering",Red,Coupe,8 Cyl,2014 Jaguar XK,"$41,000 ",Miami
"Mileage: 42,537 miles","Used 2014 Honda Odyssey Touring with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",Unspecified,Minivan,6 Cyl,2014 Honda Odyssey Touring,"$24,493 ",Miami
"Mileage: 14,100 miles","Used 2016 Toyota Corolla L with FWD, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, Trip Computer, Intermittent Wipers",Silver,Sedan,4 Cyl,2016 Toyota Corolla L,"$13,788 ",Miami
