specs,price,color,mileage,bodytype,engine,model,city
"Used 2014 BMW 3 Series 320i xDrive with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows","$23,288 ",White,"Mileage: 29,372 miles",Sedan,4 Cyl,2014 BMW 3 Series 320i xDrive,WashingtonDC
"Used 2013 Mini Cooper with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Power Windows, Trip Computer, Power Locks, Rear Window Defroster, Front Airbags (Driver)","$9,995 ",White,"Mileage: 78,115 miles",Hatchback,4 Cyl,2013 Mini Cooper,WashingtonDC
"Used 2014 Toyota Camry SE with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Windows, AM/FM","$13,898 ",Black,"Mileage: 29,220 miles",Sedan,4 Cyl,2014 Toyota Camry SE,WashingtonDC
"Used 2012 Ford Escape XLT with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering","$10,779 ",Silver,"Mileage: 71,625 miles",SUV,6 Cyl,2012 Ford Escape XLT,WashingtonDC
"Used 2016 Nissan Versa S with FWD, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, AM/FM, Aux Audio Adapter, Trip Computer, Intermittent Wipers, Rear Window Defroster","$9,998 ",Silver,"Mileage: 16,948 miles",Sedan,4 Cyl,2016 Nissan Versa S,WashingtonDC
"Used 2015 Toyota Sienna LE with FWD, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio","$23,811 ",Black,"Mileage: 21,921 miles",Minivan,6 Cyl,2015 Toyota Sienna LE,WashingtonDC
"Used 2015 Ford F-150 XLT with 4WD, Fog Lights, Trailer Hitch, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Towing Package, Rear-View Camera, Split/Folding Seats, Air Conditioning","$27,295 ",Black,"Mileage: 30,357 miles",Pickup,6 Cyl,2015 Ford F-150 XLT,WashingtonDC
"Used 2015 Jeep Wrangler Sport with 4WD, Fog Lights, Cruise Control, CD (Single Disc), MP3, Cloth Seats, Power Steering, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes, Trip Computer","$22,490 ",Green,"Mileage: 20,081 miles",SUV,6 Cyl,2015 Jeep Wrangler Sport,WashingtonDC
"Used 2012 Ford Fusion SE with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats","$9,773 ",White,"Mileage: 74,083 miles",Sedan,6 Cyl,2012 Ford Fusion SE,WashingtonDC
"Used 2016 Ford Mustang Shelby GT350 with RWD, Leather Seats, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, MP3, Cloth Seats, Power Steering, Power Windows","$53,998 ",Gray,"Mileage: 3,941 miles",Coupe,8 Cyl,2016 Ford Mustang Shelby GT350,WashingtonDC
"Used 2015 Mini Cooper S with FWD, Fog Lights, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Steering, AM/FM, Aux Audio Adapter","$20,891 ",White,"Mileage: 28,888 miles",Hatchback,4 Cyl,2015 Mini Cooper S,WashingtonDC
"Used 2014 BMW 3 Series 328i with RWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering","$22,392 ",Black,"Mileage: 36,128 miles",Sedan,4 Cyl,2014 BMW 3 Series 328i,WashingtonDC
"Used 2016 Buick Encore Leather Group with AWD, Remote Start, Leather Seats, Alloy Wheels, Navigation System, Heated Seats, Rear-View Camera, Satellite Radio","$23,990 ",White,"Mileage: 2,595 miles",SUV,4 Cyl,2016 Buick Encore Leather Group,WashingtonDC
"Used 2014 Toyota Sienna XLE with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats","$23,307 ",Gray,"Mileage: 36,048 miles",Minivan,6 Cyl,2014 Toyota Sienna XLE,WashingtonDC
"Used 2013 Ford Explorer Base with 4WD, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows","$18,997 ",White,"Mileage: 34,680 miles",SUV,6 Cyl,2013 Ford Explorer Base,WashingtonDC
"Used 2014 Ford F-150 XLT with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Towing Package, Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3","$29,875 ",Blue,"Mileage: 31,325 miles",Pickup,6 Cyl,2014 Ford F-150 XLT,WashingtonDC
"Used 2011 BMW 3 Series 335i xDrive with AWD, Leather Seats, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows","$17,998 ",Black,"Mileage: 44,104 miles",Coupe,6 Cyl,2011 BMW 3 Series 335i xDrive,WashingtonDC
"Used 2014 Volkswagen Passat SE with FWD, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Windows, Trip Computer","$13,299 ",Gray,"Mileage: 42,993 miles",Sedan,5 Cyl,2014 Volkswagen Passat SE,WashingtonDC
"Used 2010 Mini Cooper Base with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, Satellite Radio, Power Steering, AM/FM, Aux Audio Adapter, Trip Computer","$7,995 ",Blue,"Mileage: 75,252 miles",Hatchback,4 Cyl,2010 Mini Cooper Base,WashingtonDC
"Used 2014 Mercedes-Benz E-Class E 250 with RWD, Power Sun/Moonroof, Navigation System, Heated Seats, Rear-View Camera, Split/Folding Seats, Satellite Radio, Power Mirrors","$34,563 ",Gray,"Mileage: 13,272 miles",Sedan,4 Cyl,2014 Mercedes-Benz E-Class E 250,WashingtonDC
"Used 2017 Toyota Corolla LE with FWD, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Windows, AM/FM, Power Locks, Rear Window Defroster","$15,950 ",Red,"Mileage: 5,029 miles",Sedan,4 Cyl,2017 Toyota Corolla LE,WashingtonDC
"Used 2013 Dodge Durango SXT with AWD, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats","$19,990 ",White,"Mileage: 78,037 miles",SUV,6 Cyl,2013 Dodge Durango SXT,WashingtonDC
"Used 2015 BMW 3 Series 328i xDrive with AWD, Fog Lights, Power Sun/Moonroof, Air Conditioning, Trip Computer, Power Locks, Handsfree/Bluetooth Integration, Power Mirrors","$26,750 ",Blue,"Mileage: 38,398 miles",Hatchback,4 Cyl,2015 BMW 3 Series 328i xDrive,WashingtonDC
"Used 2015 Ford Fusion SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats","$13,900 ",Blue,"Mileage: 33,184 miles",Sedan,4 Cyl,2015 Ford Fusion SE,WashingtonDC
"Used 2015 Nissan Altima S with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM","$11,694 ",Silver,"Mileage: 33,369 miles",Sedan,4 Cyl,2015 Nissan Altima S,WashingtonDC
"Used 2016 Ford Fusion S with FWD, Cruise Control, Air Conditioning, Power Steering, AM/FM, Trip Computer, Intermittent Wipers, Power Locks, Handsfree/Bluetooth Integration, Power Mirrors","$13,725 ",Gold,"Mileage: 22,031 miles",Sedan,4 Cyl,2016 Ford Fusion S,WashingtonDC
"Used 2016 Jeep Patriot High Altitude Edition with 4WD, Fog Lights, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, Power Steering, AM/FM, 4-Wheel Disc Brakes, Power Seat (Driver), Intermittent Wipers","$15,800 ",Black,"Mileage: 14,904 miles",SUV,4 Cyl,2016 Jeep Patriot High Altitude Edition,WashingtonDC
"Used 2015 Chevrolet Malibu LT with FWD, Remote Start, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio","$15,400 ",Red,"Mileage: 8,982 miles",Sedan,4 Cyl,2015 Chevrolet Malibu LT,WashingtonDC
"Used 2014 Toyota Corolla S with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats","$12,821 ",Blue,"Mileage: 35,463 miles",Sedan,4 Cyl,2014 Toyota Corolla S,WashingtonDC
"Used 2015 Ford Mustang with RWD, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering","$19,000 ",Gray,"Mileage: 17,668 miles",Coupe,4 Cyl,2015 Ford Mustang,WashingtonDC
